管理NO,問合せ内容,回答内容
d7a37e82-b8f9-483f-8dd1-902c0c7a3b81,PDFダウンロードしてファイルを開く押してもデータ量が多いとエラーが出て開けない。,ダウンロードいらない物は消してもらい、ファイルマーク押したら一旦は開いたので様子見。
0cfa9f12-3004-4963-a137-8a4f2ae48695,"COMPANY『月次勤務実績の確認・承認』で、配下スタッフの8月30日（金）がエラーになっています。
該当日は、配下スタッフが出社すぐ後に体調不良で帰宅をしています。
所属長の代理申請により、COMPANY『年次有給休暇申請』で年休申請をして、承認しています。
＜エラーメッセージ＞
「エラー：休日・休暇に打刻があります。休日・休暇振替をするか打刻取消理由を入力してください
　エラー：始業・終業時刻が逆転しています（当日08時58分～当日00時00分）」
・社員コード：033111","NTPGサポート部）岡田殿に対応いただきました。
→主管部用メニュー『勤務実績の登録・確認・修正』で、該当日付の“詳細”ボタンを押下して、「始業・終業時刻」を設定を“9:00～18:00”に設定をして、一時保存をしていただきました。
→ご本人でCOMPANYにログインしていただき、COMPANY『勤務実績の登録・確認』で、該当日付の“詳細”ボタンを押下、「出社打刻を取り消す理由」をご入力ください。
エラーが解除されて、日次確定をすることが出来ます。"
fd036e67-816d-4579-9493-dc52f5850518,"社用携帯（iPhone）が修理から返却されたので、初期設定を進めています。
「3.位置情報初期設定マニュアル」（「GoogleMaps 初期設定」）を参照して、設定しています。
Google『ログイン』で、会社のメールアドレスとパスワードを入力してもログインすることができません。
複数回実施しているうちに、警告メッセージが表示されるようになりました。
＜エラーメッセージ＞
「アカウントを安全に保つため、ログインするには本人確認を行う必要があります。
　試行回数が上限を超えました
　入力回数の上限を超えたため、ご利用いただけません。
　数時間後にもう一度お試しください。」","NTPGサポート部）上村殿に依頼をして、梶本殿のGoogle認証機能を一時無効（※）にしていただきました。 Google『ログイン』で、正常にログインすることができました。 
※システムサポート）舟橋殿，安藤殿，上村殿が対応可能"
f63747bf-9c25-4ee8-bbdb-bfb97f8cb94c,タブレット端末がネットワークに接続できません。,"タスクバーの右側の地球儀（アンテナマーク）からWi-Fi一覧を確認いただこうとしましたが、地球儀（アンテナマーク）が表示されていないということです。
上△マーク（「隠れているインジケーターを表示します」）も表示されていないということです
完全シャットダウンをしていただいたところ、タスクバーの右側にアンテナマークが表示されました。
ネットワークが正常に接続されていることを確認いただきました。
＜※完全シャットダウン Windows10＞
Shiftキーを押しながら「電源」＞「再起動」をクリックして、オプションの選択画面が表示されたら、「PCの電源を切る」をクリックする。 
"
835bf11e-bd1c-4c9e-9f72-3bf44fb0681a,"iPhoneのテザリングを利用して、リモートアクセスを行いたいです。
端末修理後で、端末に『BIG-IP Edge Client』がインストールされていません。","現在は外出先ということです。
現在、リモートアクセスの証明書は、社内のネットワーク環境でないと取得できません。
三河安城店か、現在地から最寄りの店舗にいらっしゃるタイミングで、ご連絡いただきますようお願い致しました。"
1c6aae19-dc6b-4113-9f09-641e88584946,"アイチスタッフが使用している端末（PC125015C）に、PAL（063：U-Car特販課）をインストールしてください。
","NTPGサポート部）安藤殿 経由で、デジタルオペレーション）森殿に確認致しました。
カーモスト 商品流通部 流通・仕入でPALをインストールされたい場合は、［上長→車両部 流通→デジタルオペレーション→NTPGサポート部 システムサポート］の流れで依頼いただきますようお願い致します。
またPALインストール後は、PALのバージョンアップを実施いただかないと、Windowsのアップデートがされません。
そのため、部署異動や業務担当の変更等で、PALを使用されなくなった場合は、サポートデスクにPALのアンインストールをご依頼いただきますようお願い致しました。"
6de52334-d12a-40de-ad2b-6de930103875,"タブレット端末のキーボード部品の「A」キーが外れてしまいました。
修理は可能でしょうか。 ","まずは、キーボードをシステム活用推進に送付いただき、破損があるかを確認させていただきます。
確認の送付で3日程かかるとお話したところ、9月に産休に入るスタッフがいるため、そのキーボードを数日お借りできるタイミングで送付しようと思いますということです。
もし破損があってキーが外れている場合。。。
現在ご使用いただいているタブレット端末はリース品のため、3年後の満了時に正常な状態で返却いただく必要があります。
そのため、キーボードが故障した場合、店舗費用（部門費用）で購入いただきます。（2.7万円程）
サポートデスクにキーボードを購入したい旨をお伝えいただければ、担当（システム活用推進 伊藤殿）に連携致します。"
c6441344-0f05-46a5-94d2-2c8fe9cb1ebe,"PAL『新車商談一覧』から過去の商談メモを開こうとすると、エラーメッセージが表示されます。
該当車両は登録キャンセルとなりましたが、付属品やオプション無しの価格を確認したいです。
＜エラーメッセージ＞
「商談一覧データチェック・展開 MIIB0778AAE 
　指定されたデータは本社からの指示により展開できません。」","ai21『車名マスタメンテ』または『車両型式マスタメンテ』の「PAL連絡区分」が“1：PALに連絡しない”となっている場合、このメッセージが表示されます。
『新車商談一覧』の“F2：印刷”を押下して、「イメージ」で商談内容を確認することは可能です。
＜補足＞
特別な事情があって必要な場合は。。。
本社　車両部にご依頼いただき、「PAL連絡区分」を“△：連絡する”に変更して、配信していただく必要があります。（参照ナレッジ：SBDB10710）
車両部 仕入の対象車名担当にご相談ください。"
ea265b9c-6ee8-402c-b904-c953d098fb08,"『UMI販売店連携』で価格を入力する際に、以前に入力したことのある数字が自動予測で表示されます。
誤入力の原因になるため、クリアしたいです。
","該当画面はGoogle Chromeのブラウザを使用されていましたが、長谷川殿のプロファイルではなく、ユーザー2のプロファイルで開かれていました。
特に意図はなく、ユーザー2のプロファイルは不要ということなので、ユーザー2のプロファイルを削除致しました。
長谷川殿のプロファイルで、『UMI販売店連携』を起動すると、今のところ自動予測が表示されません。
様子を見ていただけることになりました。"
d0b6f885-1332-4756-9f6c-d0da4f3d6bcf,"労政部から妻（休職中のため個人メール（Yahoo!メール）使用）に連絡が届きました。
個人所有のiPhoneで、メール添付のPDFに記載されているURLを開いて、認証コードを入力、“ダウンロード”ボタンを押下していますが、反応がありません。
ファイル＞ブラウズ＞ダウンロードには、ダウンロードしたファイルが存在していません。
","パソコン操作をお願いしましたが、使用できるパソコンはないということです。
当初、Safariのブラウザで、Yahoo!Japan＞メールを開かれているというお話でした。
その後、Yahoo!メールアプリでメールを確認されていたことが分かりました。
Safariのブラウザで、Yahoo!Japan＞メールを開いて、ダウンロードをしていただいたところ、正常にダウンロードすることができました。"
2b6ed452-c091-42d8-9706-c8ed81adfb53,店舗共有ファイルが開けないので、メールに添付できないです。,デスクトップにある店舗共有を開いて新しくショートカット作成してそこから持ってきたPDFを貼り付けて完了
27a2cdba-5ca0-42ed-b76b-a1def74a6505,Google Meetで会議しながら新しくページ開いて上のタブで切替しながら画面使いたいけど上にタブがない。,上ではなく左にタブが来るような設定になっていたので、「https://remote.east-flets.net/faq/832」の方法で設定変更ができます。
2c9660b6-5a82-4070-9758-48bfe043feda,CHOCOLAが開かない,"データベース名に「CHOCOLA」、ネットワークアドレスに「99.999.999.999」を入力し、OK。そのまましばらく待つと、パスワード画面になりました。ログインして頂き正常に開くこと確認しました。 
"
692c5db4-f3ac-49e0-9d32-921bfd79dc72,ネットワーク煮繋がらない,IPアドレス聞いたところ、99.999.999.999の社内ネットワークに繋がっていなかったので、非公開のネットワークからSSIDとパスワードを直接入力してもらったらつながった。
df0ad698-341c-468b-b1a1-ae7df2d16b25,先日PCの代替機が届いてその端末は今後も使うのか、それとも修理に出した端末が戻ってくるのか。,"そのまま代替機が竹中さんのPCになります。
"
eac56f40-fc9d-4df4-9a03-fbe92e44c49e,"開いても「アクセスできません」と出る。
",ポリシー最新にして解消。
974de2b5-b3e5-41d6-b7be-161ae621ce50,SMB画面が開けない,IEモード設定で解消
7263c471-3ae5-4ad6-b7f7-08f1acf071ed,設定休入れてる日を午前休、午後出張に変えたい。,設定休が足りなくなってしまうので、別の日に入れてる長期休を設定休に変える必要があります。上長に長期休の日次確定を取り消してもらってから岡田さんに実績クリアしてもらい、上長に所属長メニューから長期休を設定休に変える。午後出張に行きたい日の午前は年休の午前休にしたら完了。
b2106090-0af6-4c85-9fab-6ead4b67f99b,"COMPANY『ログイン』でロックがかかってしまったため、ロック解除をしました。
COMPANY『ログイン』に、ワンタイムパスワードでログインはしましたが、『パスワードの変更』の「古いパスワード」に今までのパスワードを入力してもエラーになります。
＜エラーメッセージ＞
「古いパスワードに誤りがあります！
　大文字と小文字の区別に注意してください。」","『パスワードの変更』の「古いパスワード」には、COMPANY『ログイン』に入力いただいたワンタイムパスワードを入力して下さい。
パスワードを再設定することができました。"
3209145a-8540-4580-8508-aff1c3e0f9a8,長期休を無しにして設定休に変えて、今日の設定休を出勤に変えたい。,まず、長期休の取消申請後休日変更申請をお願いします。
0b507ca6-ab53-444e-857f-6eb391d86a33,社外の方にPDF付きメールを送信したが、承認コードの入力が上手くいかず相手側が見れない。,
a18cfdd8-1288-44c8-bb62-8d8b5a6b19bf,複合機について　複合機のScanフォルダの場所が分からなくなってしまった,ご案内しました
8dacd577-c1cf-4b3a-9834-8db88f2d5398,PCの電源が入らない　電池切れるよの警告なった,左下バッテリの穴に刺すも反応無し。左上に刺すとバッテリの反応あり。　左上で充電して左下の充電口が壊れたのか切り分けをお願いしました。明日の朝、修理が必要なら再度電話お願いしました
2f316da5-b560-4755-a7cf-cd27a94a1769,メールに添付されてるExcelを店舗共有に保存したいがうまくできなかった。,ご希望の共有フォルダに保存しました。
14ce64d9-c84c-4998-ae63-eaaf68fcaa65,"メールセキュリティサービスHENNGEについて　送ったのが6,7日らへんなので「認証コードが2週間」というのが当てはまるのですが、2週間過ぎた場合はどうしたらいいですか。　MAO：240829-003",手順書を見る限り、相手の方に再認証して頂ければ良いかと思われます。とりあえずトラブルシュートを相手に送って確認中とのことでしたのでまた何かあればご連絡いただきますようお願いいたしました。
e2051417-9451-4b82-ace0-d4af668cd84b,"表の文字列・行間をそろえたい。
エンターキー押して開改行すると広すぎる行間になる。","シフトキー+エンターキーで正常な改行にして行間を1.43にそろえた。
若干のズレはあるが、これ以上は難しいです。"
b9f58acc-7663-4727-865f-bd419fd9aae9,Wordファイルの編集について確認したい。,リモート接続で確認。お話をお聞きするとメールでテンプレート（ひな型）をもらって編集されているとの事。ひな型の提供元にご確認ください。
fe2874ba-8d65-4419-91b7-418ddbd34eb5,サテロクのショートカットをデスクトップに作成したい,URLの左隣のサテロクアイコンをドラッグアンドドロップで作成
337a38e1-106a-4099-97f2-c2efbd6c217f,店舗共有の場所が変わったかと思いますが、今まで開いてたNTPトヨペットのサービス部のファイルが開けなくなりました。,[\\99.999.999.999\店舗共有]にはVW端末から入れません。管理者がそこまで把握してるか不明ですので先にインポート事業部）山本CMにご相談をお願いいたしました。→数日後、山本CMから上村さんに連絡があり、NTPトヨペット本社（サービス部）に確認いただくようお願いしたそうですが、結局未解決のようです。
347d4678-f009-40cd-a8d4-7d8ab2379f6c,エスパートⅡを開くと「プログラムがインストールされていないか不正です」のエラーになる。095150@14701／Ntp1234567 ,"E2インストーラーからインストールしました。
車種データの更新まで完了致しました。
"
220135bb-cf39-4b89-9083-aa3d8d594e99,"COMPANY『ログイン』でロックがかかってしまったため、ロック解除をしました。 COMPANY『ログイン』に、ワンタイムパスワードでログインはしましたが、『パスワードの変更』の「古いパスワード」に今までのパスワードを入力してもエラーになります。
＜エラーメッセージ＞
「古いパスワードに誤りがあります！
　大文字と小文字の区別に注意してください。」","『パスワードの変更』の「古いパスワード」には、COMPANY『ログイン』に入力いただいたワンタイムパスワードを入力して下さい。
パスワードを再設定することができました"
311c988e-2a1b-4234-9ccd-945c5549abec,"印刷しようとするとポップアップが出て来ない。
印刷ができない。",ポップアップブロック無効にして様子見。また印刷するものがある時にできるか試してください
35733c61-7eca-4da9-a30b-2b8f0c7a4582,MFA認証の設定をしていないPCがあるので、他のPC同様、森GMのATSCで販売店ゲートウェイにログイン出来るようにしたい。,設定済みのPCからWinAuthの設定をエクスポートし、設定したいPCでインポートしました。販売店ゲートウェイにログインできたことを確認しました。
